time_ns,front_position (Marshak),front_position (Vacuum Loss)
0.01,0.0,0.0
0.011491491491491491,5.533229535817936e-06,5.533229535044287e-06
0.012982982982982984,1.285094522950044e-05,1.2850581142271162e-05
0.014474474474474475,2.0539474656067026e-05,2.0538163829557046e-05
0.015965965965965966,2.758048083353954e-05,2.7577376459959604e-05
0.017457457457457456,3.506400420643975e-05,3.5058827987729204e-05
0.018948948948948947,4.237896342988167e-05,4.2371488481801644e-05
0.020440440440440442,4.938732536728326e-05,4.9377194888529405e-05
0.021931931931931933,5.616348771738627e-05,5.615047219072339e-05
0.023423423423423424,6.303015277491284e-05,6.30141178030756e-05
0.024914914914914918,7.00440853593867e-05,7.002493512087237e-05
0.02640640640640641,7.691277369031084e-05,7.68903160322099e-05
0.0278978978978979,8.346387963571305e-05,8.343783339098602e-05
0.02938938938938939,9.022300606959816e-05,9.019325747648372e-05
0.03088088088088088,9.745454575214254e-05,9.74211082276435e-05
0.03237237237237237,0.0001046700605996035,0.00010463276113506612
0.03386386386386386,0.00011178080337042305,0.0001117394126231858
0.035355355355355354,0.00011848084547206133,0.00011843508048478638
0.036846846846846845,0.00012534275122841028,0.00012529249963870532
0.03833833833833834,0.0001328407174794209,0.00013278606644560986
0.039829829829829834,0.00014046386458184455,0.00014040469328828508
0.041321321321321325,0.0001478019523274734,0.00014773791977549394
0.042812812812812816,0.00015497549929955294,0.00015490632721420157
0.04430430430430431,0.00016268444700170325,0.00016261014017782702
0.0457957957957958,0.00017093624019002052,0.00017085681137252317
0.04728728728728729,0.00017931877683943014,0.00017923402498563475
0.04877877877877878,0.0001876804703527121,0.00018759013826744232
0.05027027027027028,0.00019597712295963554,0.0001958810136937183
0.05176176176176177,0.00020419778796049555,0.00020409903300909566
0.05325325325325326,0.00021197508848967714,0.00021187297883433972
0.05474474474474475,0.0002197165338205206,0.00021960529108731305
0.05623623623623624,0.00022798669194607144,0.0002278637613873919
0.05772772772772773,0.00023647629826036446,0.0002363405353028432
0.05921921921921922,0.0002450218267423853,0.0002448725132980736
0.060710710710710714,0.00025355281904629773,0.00025338948709024376
0.062202202202202204,0.0002620399126752324,0.00026186224985580333
0.0636936936936937,0.00027047133843749753,0.00027027912458042313
0.06518518518518518,0.00027854253126900096,0.0002783353085617427
0.06667667667667668,0.0002865082203942273,0.0002862856139880714
0.06816816816816818,0.0002948179659914911,0.0002945800525372806
0.06965965965965966,0.00030330148219072107,0.0003030483146505529
0.07115115115115116,0.00031185109108359664,0.00031158255492001757
0.07264264264264264,0.00032015337691037145,0.000319869065438354
0.07413413413413414,0.00032837346399770145,0.0003280782477103735
0.07562562562562562,0.0003368732684302436,0.0003365685762058676
0.07711711711711712,0.0003455228570046904,0.0003452024341055498
0.0786086086086086,0.000354235390762668,0.00035389513917520333
0.0801001001001001,0.000362961603581148,0.000362598988778605
0.08159159159159159,0.00037167390079925175,0.0003712873347846376
0.08308308308308308,0.0003796510654756411,0.00037923850184759885
0.08457457457457457,0.0003873575970752578,0.0003869173835189958
0.08606606606606607,0.0003958067905085846,0.0003953389277373973
0.08755755755755755,0.00040472761004296034,0.0004042323141292931
0.08904904904904905,0.00041391743773178547,0.00041339456981468776
0.09054054054054055,0.00042325083351885145,0.0004227000870326562
0.09203203203203203,0.0004322028064268433,0.0004316299404510323
0.09352352352352353,0.0004410119680528406,0.0004404185951512783
0.09501501501501501,0.0004502925285005216,0.0004496716163725191
0.09650650650650651,0.0004598711553270649,0.00045921796489889575
0.097997997997998,0.0004696185339768385,0.0004689297663266927
0.09948948948948949,0.00047873451334579163,0.0004780064950191632
0.10098098098098097,0.0004876069122625159,0.0004868366876903982
0.10247247247247247,0.0004972247450268621,0.0004964117120375522
0.10396396396396396,0.0005073353303781331,0.0005064793524614346
0.10545545545545545,0.0005177428456621805,0.0005168515266795828
0.10694694694694695,0.0005283203312255974,0.000527396543433736
0.10843843843843844,0.0005389048234135514,0.0005379399194899254
0.10992992992992993,0.0005494915595634453,0.0005484792786573417
0.11142142142142142,0.000560163411269761,0.0005590996758665296
0.11291291291291292,0.0005703639320816107,0.0005692447585683941
0.1144044044044044,0.0005803412745165309,0.0005791634674631698
0.1158958958958959,0.0005907892068227288,0.0005895517658534934
0.11738738738738738,0.0006015565511663496,0.00060025903089264
0.11887887887887888,0.0006125216826521127,0.0006111728053731294
0.12037037037037036,0.0006236025198423369,0.0006222062552177134
0.12186186186186186,0.0006340215132502677,0.0006325670600978815
0.12335335335335336,0.0006441174453485122,0.0006425961560901266
0.12484484484484484,0.00065486527542425,0.0006532730346282025
0.12633633633633634,0.0006660728649040974,0.0006644072052317273
0.12782782782782784,0.0006775799422139835,0.0006758387465331415
0.12931931931931934,0.0006892753445948519,0.0006874568067965168
0.1308108108108108,0.0007010831040262697,0.0006991962057939352
0.1323023023023023,0.0007129515250813206,0.0007110005645130811
0.1337937937937938,0.00072484548921958,0.0007228207096614401
0.1352852852852853,0.000735973237942827,0.0007338647342790035
0.1367767767767768,0.0007466820614870071,0.0007444818742291204
0.1382682682682683,0.0007580057811010498,0.0007557107003209207
0.13975975975975977,0.0007697787965553473,0.000767387067029674
0.14125125125125126,0.0007818561198020478,0.000779377574114333
0.14274274274274276,0.0007941337596926478,0.000791573205329616
0.14423423423423426,0.000806538154862004,0.0008038850463504572
0.14572572572572573,0.0008190174806951743,0.0008162635970714252
0.14721721721721723,0.0008309313465385708,0.0008280682617416976
0.14870870870870873,0.0008425206460422104,0.0008395413995223618
0.15020020020020022,0.0008545791620258363,0.0008514809031618109
0.1516916916916917,0.0008669843813952949,0.0008637780083075545
0.1531831831831832,0.0008796276626665725,0.0008763189055401777
0.1546746746746747,0.0008921190898670888,0.0008886957701282805
0.1561661661661662,0.0009045333722517311,0.0009009854284539153
0.15765765765765768,0.0009172438585539776,0.0009135649620709114
0.15914914914914916,0.000930167638949493,0.000926353254447007
0.16064064064064065,0.0009428099148543529,0.00093886794246182
0.16213213213213215,0.0009552941845636189,0.0009512277858589287
0.16362362362362365,0.0009681469143547456,0.0009639444836074272
0.16511511511511512,0.0009812727177192426,0.0009769254134453708
0.16660660660660662,0.0009945880763212228,0.0009900889042301444
0.16809809809809811,0.0010080308832590497,0.0010033742990239712
0.1695895895895896,0.0010204370213793032,0.0010156274269031847
0.1710810810810811,0.0010322196744092986,0.0010272566729630271
0.17257257257257258,0.0010448313271614034,0.0010397034762532746
0.17406406406406408,0.0010580888934795599,0.001052788160687822
0.17555555555555558,0.0010718190246830706,0.0010663385301535693
0.17704704704704707,0.0010858893510627603,0.00108022321841506
0.17853853853853854,0.0011002003287725515,0.0010943590399249148
0.18003003003003004,0.0011146775597781961,0.0011086666109291416
0.18152152152152154,0.00112926563868288,0.0011230710086257447
0.18301301301301304,0.001143923386068755,0.0011375337165864217
0.1845045045045045,0.0011586202272095376,0.0011520266833952761
0.185995995995996,0.0011727519767463857,0.001165960374768307
0.1874874874874875,0.0011865151267583082,0.0011795268597092163
0.188978978978979,0.0012006544556794107,0.0011934554582422345
0.1904704704704705,0.0012150860628772683,0.0012076656871909922
0.19196196196196197,0.0012297296756177537,0.0012220792633386558
0.19345345345345347,0.001244523532815676,0.0012366529540620743
0.19494494494494496,0.0012594205276248041,0.0012513351969732022
0.19643643643643646,0.001274384793476259,0.0012660693823359796
0.19792792792792793,0.0012893890456477837,0.0012808309746121297
0.19941941941941943,0.001304412538519803,0.0012956018595987585
0.20091091091091093,0.001318464984909537,0.0013093870619753924
0.20240240240240243,0.0013318631873622646,0.0013225223969785091
0.20389389389389392,0.0013458492849037938,0.00133625383061548
0.2053853853853854,0.0013603120857300672,0.001350449757781486
0.2068768768768769,0.0013751383290802079,0.0013649983042138332
0.2083683683683684,0.0013902381508295667,0.001379811266463985
0.2098598598598599,0.0014055410587295218,0.0013948382280446622
