time_ns,front_position (Marshak),front_position (Vacuum Loss)
0.01,0.0,0.0
0.011491491491491491,5.533229535817936e-06,5.533229535044287e-06
0.012982982982982984,1.285094522950044e-05,1.2850581142271162e-05
0.014474474474474475,2.0539474656067026e-05,2.0538163829557046e-05
0.015965965965965966,2.758048083353954e-05,2.7577376459959604e-05
0.017457457457457456,3.506400420643975e-05,3.5058827987729204e-05
0.018948948948948947,4.237896342988167e-05,4.2371488481801644e-05
0.020440440440440442,4.938732536728326e-05,4.9377194888529405e-05
0.021931931931931933,5.616348771738627e-05,5.615047219072339e-05
0.023423423423423424,6.303015277491284e-05,6.30141178030756e-05
0.024914914914914918,7.00440853593867e-05,7.002493512087237e-05
0.02640640640640641,7.691277369031084e-05,7.68903160322099e-05
0.0278978978978979,8.346387963571305e-05,8.343783339098602e-05
0.02938938938938939,9.022300606959816e-05,9.019325747648372e-05
0.03088088088088088,9.745454575214254e-05,9.74211082276435e-05
0.03237237237237237,0.0001046700605996035,0.00010463276113506612
0.03386386386386386,0.00011178080337042305,0.0001117394126231858
0.035355355355355354,0.00011848084547206133,0.00011843508048478638
0.036846846846846845,0.00012534275122841028,0.00012529249963870532
0.03833833833833834,0.0001328407174794209,0.00013278606644560986
0.039829829829829834,0.00014046386458184455,0.00014040469328828508
0.041321321321321325,0.0001478019523274734,0.00014773791977549394
0.042812812812812816,0.00015497549929955294,0.00015490632721420157
0.04430430430430431,0.00016268444700170325,0.00016261252562559
0.0457957957957958,0.00017093624019002052,0.00017086051952335983
0.04728728728728729,0.00017931877683943014,0.0001792341890957648
0.04877877877877878,0.0001876804703527121,0.00018758474274582144
0.05027027027027028,0.00019597712295963554,0.0001958693026267978
0.05176176176176177,0.00020419778796049555,0.00020407742679526584
0.05325325325325326,0.00021197508848967714,0.00021184155887513236
0.05474474474474475,0.0002197165338205206,0.00021956938417877904
0.05623623623623624,0.00022798669194607144,0.00022782607281743279
0.05772772772772773,0.00023647629826036446,0.0002363022620704347
0.05921921921921922,0.0002450218267423853,0.0002448341641544726
0.060710710710710714,0.00025355281904629773,0.00025335127571957664
0.062202202202202204,0.0002620399126752324,0.0002618242646334097
0.0636936936936937,0.00027047133843749753,0.00027024579029834387
0.06518518518518518,0.00027854253126900096,0.0002783072484812231
0.06667667667667668,0.0002865082203942273,0.00028625678682659827
0.06816816816816818,0.0002948179659914911,0.00029454701471291967
0.06965965965965966,0.00030330148219072107,0.0003030092208629895
0.07115115115115116,0.00031185109108359664,0.0003115363595156274
0.07264264264264264,0.00032015337691037145,0.00031981502322426787
0.07413413413413414,0.00032837346399770145,0.00032801060945188647
0.07562562562562562,0.0003368732684302436,0.00033648573003689837
0.07711711711711712,0.0003455228570046904,0.00034511055464084826
0.0786086086086086,0.000354235390762668,0.00035379811932476356
0.0801001001001001,0.000362961603581148,0.0003625048857452766
0.08159159159159159,0.00037167390079925175,0.00037119948794622564
0.08308308308308308,0.0003796510654756411,0.00037915114307653406
0.08457457457457457,0.0003873575970752578,0.0003868264923248104
0.08606606606606607,0.0003958067905085846,0.0003952422097498553
0.08755755755755755,0.00040472761004296034,0.0004041283880466801
0.08904904904904905,0.00041391743773178547,0.0004132824968385559
0.09054054054054055,0.00042325083351885145,0.0004225792268143495
0.09203203203203203,0.0004322028064268433,0.0004314928947755936
0.09352352352352353,0.0004410119680528406,0.0004402623323756838
0.09501501501501501,0.0004502925285005216,0.0004495100952000524
0.09650650650650651,0.0004598711553270649,0.00045905875934582237
0.097997997997998,0.0004696185339768385,0.00046876874299118046
0.09948948948948949,0.00047873451334579163,0.00047784032152796435
0.10098098098098097,0.0004876069122625159,0.0004866630385108397
0.10247247247247247,0.0004972247450268621,0.0004962293522162642
0.10396396396396396,0.0005073353303781331,0.0005062875230137911
0.10545545545545545,0.0005177428456621805,0.0005166416020380113
0.10694694694694695,0.0005283203312255974,0.0005271728232358211
0.10843843843843844,0.0005389048234135514,0.0005377135175524948
0.10992992992992993,0.0005494915595634453,0.000548247547504377
0.11142142142142142,0.000560163411269761,0.0005588605327581333
0.11291291291291292,0.0005703639320816107,0.0005689965643639165
0.1144044044044044,0.0005803412745165309,0.0005789050314563756
0.1158958958958959,0.0005907892068227288,0.0005892825087748934
0.11738738738738738,0.0006015565511663496,0.0005999877294668859
0.11887887887887888,0.0006125216826521127,0.0006108942902189717
0.12037037037037036,0.0006236025198423369,0.0006219074751043427
0.12186186186186186,0.0006340215132502677,0.0006322496401690248
0.12335335335335336,0.0006441174453485122,0.0006422614678081549
0.12484484484484484,0.00065486527542425,0.0006529224444368204
0.12633633633633634,0.0006660728649040974,0.0006640417443484356
0.12782782782782784,0.0006775799422139835,0.0006754692396716886
0.12931931931931934,0.0006892753445948519,0.0006870888491368922
0.1308108108108108,0.0007010831040262697,0.0006988107891049268
0.1323023023023023,0.0007129515250813206,0.0007105857631223564
0.1337937937937938,0.00072484548921958,0.0007223807435356001
0.1352852852852853,0.000735973237942827,0.0007334025154166104
0.1367767767767768,0.0007466820614870071,0.0007439994200277883
0.1382682682682683,0.0007580057811010498,0.0007552210513069202
0.13975975975975977,0.0007697787965553473,0.0007668977228373966
0.14125125125125126,0.0007818561198020478,0.0007788689626247594
0.14274274274274276,0.0007941337596926478,0.0007910326482025629
0.14423423423423426,0.000806538154862004,0.0008033170745476788
0.14572572572572573,0.0008190174806951743,0.0008156718421100835
0.14721721721721723,0.0008309313465385708,0.0008274670265397814
0.14870870870870873,0.0008425206460422104,0.0008389390994634605
0.15020020020020022,0.0008545791620258363,0.0008508698097634433
0.1516916916916917,0.0008669843813952949,0.0008631395614542733
0.1531831831831832,0.0008796276626665725,0.0008756412690329148
0.1546746746746747,0.0008921190898670888,0.0008879847514852152
0.1561661661661662,0.0009045333722517311,0.0009002586222802667
0.15765765765765768,0.0009172438585539776,0.0009128336672158823
0.15914914914914916,0.000930167638949493,0.0009256106471767315
0.16064064064064065,0.0009428099148543529,0.0009380946910187756
0.16213213213213215,0.0009552941845636189,0.0009504112890403149
0.16362362362362365,0.0009681469143547456,0.0009631050453415001
0.16511511511511512,0.0009812727177192426,0.0009760767857037872
0.16660660660660662,0.0009945880763212228,0.0009892253651202965
0.16809809809809811,0.0010080308832590497,0.0010024910446441956
0.1695895895895896,0.0010204370213793032,0.0010147055286237874
0.1710810810810811,0.0010322196744092986,0.0010262836719493662
0.17257257257257258,0.0010448313271614034,0.0010387021804277449
0.17406406406406408,0.0010580888934795599,0.001051774417272696
0.17555555555555558,0.0010718190246830706,0.0010653072218135989
0.17704704704704707,0.0010858893510627603,0.001079169833531385
0.17853853853853854,0.0011002003287725515,0.0010932645957378519
0.18003003003003004,0.0011146775597781961,0.0011075342786122458
0.18152152152152154,0.00112926563868288,0.0011219190113971322
0.18301301301301304,0.001143923386068755,0.0011363583258483646
0.1845045045045045,0.0011586202272095376,0.0011508245582941775
0.185995995995996,0.0011727519767463857,0.0011647122731878428
0.1874874874874875,0.0011865151267583082,0.0011782361612405487
0.188978978978979,0.0012006544556794107,0.0011921418459518783
0.1904704704704705,0.0012150860628772683,0.0012063262762734151
0.19196196196196197,0.0012297296756177537,0.0012207112574057803
0.19345345345345347,0.001244523532815676,0.0012352371721640783
0.19494494494494496,0.0012594205276248041,0.001249875720470499
0.19643643643643646,0.001274384793476259,0.0012645867309828837
0.19792792792792793,0.0012893890456477837,0.0012793221539731195
0.19941941941941943,0.001304412538519803,0.0012940640278717745
0.20091091091091093,0.001318464984909537,0.001307817059620931
0.20240240240240243,0.0013318631873622646,0.0013209175578926108
0.20389389389389392,0.0013458492849037938,0.0013346130577743499
0.2053853853853854,0.0013603120857300672,0.0013487723762144609
0.2068768768768769,0.0013751383290802079,0.0013632836584737463
0.2083683683683684,0.0013902381508295667,0.001378077160759663
0.2098598598598599,0.0014055410587295218,0.0013930780230428392
